CHECK BEFORE ENGINE START

Gurte,Angelegt
Kabinenhaube,Verriegelt
Trimmung,Neutral
Parkbremse,Gesetzt
Landeklappen,Geprüft
Kraftstoffhahn,Links
Öl Kühler,Auf
Vergaservorwärmung,Aus
Rettungsgerät,Entsichert
Avionik,Aus
Sicherungen,Geprüft
Steuerung,Freigängig

STARTING ENGINE

Hauptschalter,Ein
Zündschalter,Stellung Zwo
Kraftstoffinhalt,Geprüft
Kraftstoffanzeige,Links
Kraftstoffwarnleuchten,Geprüft
Kraftstoffpumpe,Ein
Kraftstoffförderdruck,0.15 - 0.5 Bar
Zylinderkopftemp. Warnung,Geprüft
Propellersteuerung,Soll 5700 U/min
Propellerverstellung,Constant Speed,
Zündschalter,Beide
Propellerbereich,Frei
Leistungshebel,Leerlauf
Choke bei Bedarf,
Motor starten,
Öldruck (> 2 Bar),Vorhanden

CHECK AFTER ENGINE START

Choke,Aus
Warmlauf 2000 bis 2500 U/min,
Kraftstoffpumpe,Aus
Kraftstoffförderdruck > 0.3 Bar,
Funk,Ein
Transponder,Ein
GPS,Ein
Flarm,Ein
Sicherungen,Geprüft
Höhenmesser,QNH

